Occupation,Treatment
Corporate,Yes
Corporate,Yes
Corporate,Yes
Corporate,Yes
Corporate,Yes
Corporate,Yes
Corporate,Yes
Corporate,No
Corporate,No
Corporate,No
Corporate,No
Corporate,No
Corporate,No
Corporate,Yes
Corporate,Yes
Corporate,No
Corporate,Yes
Corporate,Yes
Corporate,No
Corporate,Yes
Corporate,No
Corporate,Yes
Corporate,Yes
Corporate,Yes
Corporate,Yes
Corporate,Yes
Corporate,Yes
Corporate,Yes
Corporate,No
Corporate,Yes
Corporate,Yes
Corporate,No
Corporate,No
Corporate,Yes
Corporate,Yes
Corporate,Yes
Corporate,Yes
Corporate,No
Corporate,No
Corporate,No
Corporate,Yes
Corporate,Yes
Corporate,Yes
Corporate,Yes
Corporate,Yes
Corporate,Yes
Corporate,Yes
Corporate,Yes
Corporate,Yes
Corporate,Yes
Corporate,Yes
Corporate,Yes
Corporate,Yes
Corporate,Yes
Corporate,Yes
Corporate,No
Corporate,Yes
Corporate,No
Corporate,Yes
Corporate,Yes
Corporate,Yes
Corporate,Yes
Corporate,Yes
Corporate,Yes
Corporate,No
Corporate,No
Corporate,Yes
Corporate,No
Corporate,Yes
Corporate,No
Corporate,Yes
Corporate,Yes
Corporate,Yes
Corporate,Yes
Corporate,No
Corporate,No
Corporate,Yes
Corporate,Yes
Corporate,Yes
Corporate,No
Corporate,No
Corporate,Yes
Corporate,Yes
Corporate,Yes
Corporate,No
Corporate,Yes
Corporate,Yes
Corporate,Yes
Corporate,Yes
Corporate,Yes
Corporate,No
Corporate,Yes
Corporate,No
Corporate,No
Corporate,No
Corporate,Yes
Corporate,Yes
Corporate,No
Corporate,Yes
Corporate,No
Corporate,Yes
Corporate,Yes
Corporate,Yes
Corporate,Yes
Corporate,Yes
Corporate,Yes
Corporate,Yes
Corporate,No
Corporate,Yes
Corporate,No
Corporate,Yes
Corporate,Yes
Corporate,Yes
Corporate,Yes
Corporate,No
Corporate,No
Corporate,Yes
Corporate,Yes
Corporate,No
Corporate,Yes
Corporate,Yes
Housewife,Yes
Housewife,Yes
Housewife,Yes
Housewife,Yes
Housewife,Yes
Housewife,Yes
Housewife,Yes
Housewife,No
Housewife,No
Housewife,No
Housewife,No
Housewife,No
Housewife,No
Housewife,Yes
Housewife,Yes
Housewife,No
Housewife,Yes
Housewife,Yes
Housewife,No
Housewife,Yes
Housewife,No
Housewife,Yes
Housewife,Yes
Housewife,Yes
Housewife,Yes
Housewife,Yes
Housewife,Yes
Housewife,Yes
Housewife,No
Housewife,Yes
Housewife,Yes
Housewife,No
Housewife,No
Housewife,Yes
Housewife,Yes
Housewife,Yes
Housewife,Yes
Housewife,No
Housewife,No
Housewife,No
Housewife,Yes
Housewife,Yes
Housewife,Yes
Housewife,Yes
Housewife,Yes
Housewife,Yes
Housewife,Yes
Housewife,Yes
Housewife,Yes
Housewife,Yes
Housewife,Yes
Housewife,Yes
Housewife,Yes
Housewife,Yes
Housewife,Yes
Housewife,No
Housewife,Yes
Housewife,No
Housewife,Yes
Housewife,Yes
Housewife,Yes
Housewife,Yes
Housewife,Yes
Housewife,Yes
Housewife,No
Housewife,No
Housewife,Yes
Housewife,No
Housewife,Yes
Housewife,No
Housewife,Yes
Housewife,Yes
Housewife,Yes
Housewife,Yes
Housewife,No
Housewife,No
Housewife,Yes
Housewife,Yes
Housewife,Yes
Housewife,No
Housewife,No
Housewife,Yes
Housewife,Yes
Housewife,Yes
Housewife,No
Housewife,Yes
Housewife,Yes
Housewife,Yes
Housewife,Yes
Housewife,Yes
Housewife,No
Housewife,Yes
Housewife,No
Housewife,No
Housewife,No
Housewife,Yes
Housewife,Yes
Housewife,No
Housewife,Yes
Housewife,No
Housewife,Yes
Housewife,Yes
Housewife,Yes
Housewife,Yes
Housewife,Yes
Housewife,Yes
Housewife,Yes
Housewife,No
Housewife,Yes
Housewife,No
Housewife,Yes
Housewife,Yes
Housewife,Yes
Housewife,Yes
Housewife,No
Housewife,No
Housewife,Yes
Housewife,Yes
Housewife,No
Housewife,Yes
Housewife,Yes
Others,Yes
Others,Yes
Others,Yes
Others,Yes
Others,Yes
Others,Yes
Others,Yes
Others,No
Others,No
Others,No
Others,No
Others,No
Others,No
Others,Yes
Others,Yes
Others,No
Others,Yes
Others,Yes
Others,No
Others,Yes
Others,No
Others,Yes
Others,Yes
Others,Yes
Others,Yes
Others,Yes
Others,Yes
Others,Yes
Others,No
Others,Yes
Others,Yes
Others,No
Others,No
Others,Yes
Others,Yes
Others,Yes
Others,Yes
Others,No
Others,No
Others,No
Others,Yes
Others,Yes
Others,Yes
Others,Yes
Others,Yes
Others,Yes
Others,Yes
Others,Yes
Others,Yes
Others,Yes
Others,Yes
Others,Yes
Others,Yes
Others,Yes
Others,Yes
Others,No
Others,Yes
Others,No
Others,Yes
Others,Yes
Others,Yes
Others,Yes
Others,Yes
Others,Yes
Others,No
Others,No
Others,Yes
Others,No
Others,Yes
Others,No
Others,Yes
Others,Yes
Others,Yes
Others,Yes
Others,No
Others,No
Others,Yes
Others,Yes
Others,Yes
Others,No
Others,No
Others,Yes
Others,Yes
Others,Yes
Others,No
Others,Yes
Others,Yes
Others,Yes
Others,Yes
Others,Yes
Others,No
Others,Yes
Others,No
Others,No
Others,No
Others,Yes
Others,Yes
Others,No
Others,Yes
Others,No
Others,Yes
Others,Yes
Others,Yes
Others,Yes
Others,Yes
Others,Yes
Others,Yes
Others,No
Others,Yes
Others,No
Others,Yes
Others,Yes
Others,Yes
Others,Yes
Others,No
Others,No
Others,Yes
Others,Yes
Others,No
Others,Yes
Others,Yes
Business,Yes
Business,Yes
Business,Yes
Business,Yes
Business,Yes
Business,Yes
Business,Yes
Business,No
Business,No
Business,No
Business,No
Business,No
Business,No
Business,Yes
Business,Yes
Business,No
Business,Yes
Business,Yes
Business,No
Business,Yes
Business,No
Business,Yes
Business,Yes
Business,Yes
Business,Yes
Business,Yes
Business,Yes
Business,Yes
Business,No
Business,Yes
Business,Yes
Business,No
Business,No
Business,Yes
Business,Yes
Business,Yes
Business,Yes
Business,No
Business,No
Business,No
Business,Yes
Business,Yes
Business,Yes
Business,Yes
Business,Yes
Business,Yes
Business,Yes
Business,Yes
Business,Yes
Business,Yes
Business,Yes
Business,Yes
Business,Yes
Business,Yes
Business,Yes
Business,No
Business,Yes
Business,No
Business,Yes
Business,Yes
Business,Yes
Business,Yes
Business,Yes
Business,Yes
Business,No
Business,No
Business,Yes
Business,No
Business,Yes
Business,No
Business,Yes
Business,Yes
Business,Yes
Business,Yes
Business,No
Business,No
Business,Yes
Business,Yes
Business,Yes
Business,No
Business,No
Business,Yes
Business,Yes
Business,Yes
Business,No
Business,Yes
Business,Yes
Business,Yes
Business,Yes
Business,Yes
Business,No
Business,Yes
Business,No
Business,No
Business,No
Business,Yes
Business,Yes
Business,No
Business,Yes
Business,No
Business,Yes
Business,Yes
Business,Yes
Business,Yes
Business,Yes
Business,Yes
Business,Yes
Business,No
Business,Yes
Business,No
Business,Yes
Business,Yes
Business,Yes
Business,Yes
Business,No
Business,No
Business,Yes
Business,Yes
Business,No
Business,Yes
Business,Yes
Housewife,Yes
Housewife,Yes
Housewife,Yes
Housewife,Yes
Housewife,Yes
Housewife,Yes
Housewife,Yes
Housewife,No
Housewife,No
Housewife,No
Housewife,No
Housewife,No
Housewife,No
Housewife,Yes
Housewife,Yes
Housewife,No
Housewife,Yes
Housewife,Yes
Housewife,No
Housewife,Yes
Housewife,No
Housewife,Yes
Housewife,Yes
Housewife,Yes
Housewife,Yes
Housewife,Yes
Housewife,Yes
Housewife,Yes
Housewife,No
Housewife,Yes
Housewife,Yes
Housewife,No
Housewife,No
Housewife,Yes
Housewife,Yes
Housewife,Yes
Housewife,Yes
Housewife,No
Housewife,No
Housewife,No
Housewife,Yes
Housewife,Yes
Housewife,Yes
Housewife,Yes
Housewife,Yes
Housewife,Yes
Housewife,Yes
Housewife,Yes
Housewife,Yes
Housewife,Yes
Housewife,Yes
Housewife,Yes
Housewife,Yes
Housewife,Yes
Housewife,Yes
Housewife,No
Housewife,Yes
Housewife,No
Housewife,Yes
Housewife,Yes
Housewife,Yes
Housewife,Yes
Housewife,Yes
Housewife,Yes
Housewife,No
Housewife,No
Housewife,Yes
