Country,count
United States,171308
United Kingdom,51404
Canada,18726
Australia,6026
Netherlands,5894
Ireland,5548
Germany,4680
Sweden,2818
India,2774
France,2340
Brazil,2340
New Zealand,1994
South Africa,1994
Italy,1560
Israel,1560
Switzerland,1560
Belgium,824
Poland,824
Russia,780
Singapore,780
Greece,780
Denmark,780
Philippines,390
Finland,390
Croatia,390
Nigeria,390
Thailand,390
Mexico,390
Georgia,390
Czech Republic,390
Bosnia and Herzegovina,390
Portugal,390
Costa Rica,390
Colombia,390
Moldova,390
